"Mode #","v / cm^-1","v / THz","IR Activity / e^2 amu^-1","Raman Activity / A^4 amu^-1"
"1","3224.024083","96.65380905798915","0.4542931751264273","706.2933586"
"2","3112.298011","93.30434573145013","1.4046841552487999","297.4843313"
"3","3111.19459","93.27126600254645","0.5286008698609284","1307.6066992"
"4","3092.806098","92.719992888923","0.0015896642905404556","242.9715664"
"5","3084.095447","92.45885414527524","0.0866990370170258","498.0212992"
"6","2989.390774","89.61967951587117","0.0031392395308660263","862.5667591"
"7","1582.437804","47.44029120639781","0.18901278025443116","4.3377732"
"8","1559.882159","46.764089990499585","0.09717407330258415","29.1859016"
"9","1487.76199","44.60198174803584","0.19436643102794884","40.289076"
"10","1435.983967","43.04971569182655","0.012986533289171532","29.1987417"
"11","1426.444273","42.7637228646608","0.02998334671150052","40.2225104"
"12","1384.265709","41.49924134521671","0.010714577213688365","34.9276001"
"13","1245.620117","37.34275112339727","0.0028788161278648656","8.5344393"
"14","1221.825706","36.62941263763097","0.018016387094969555","126.8730405"
"15","1022.411091","30.651112964494686","0.006550727272302003","38.3335066"
"16","930.467005","27.89469865012452","0.03515737503204058","4.0116034"
"17","887.405481","26.603746656189923","0.03497660426639104","84.6911764"
"18","350.013502","10.493140658721968","9.69032373922839e-05","10.5832598"
"19","174.869639","5.242459815070028","0.12301715153349158","1.2653737"
"20","161.273369","4.8348539006445845","0.11307729502447525","0.6789703"
"21","154.571477","4.633936235943856","0.009371996258413128","4.5154082"
"22","138.704453","4.1582548301810665","0.08368265471427451","12.7813484"
"23","130.161902","3.9021555976797266","0.44406366947684967","0.004172"
"24","112.772566","3.3808364269416287","0.3379317982808455","11.4579604"
"25","103.379859","3.099250159114845","0.38405867852912545","30.0439215"
"26","94.953032","2.8466202448045217","0.025463767673713028","0.9089527"
"27","86.394903","2.5900539956188333","0.07754012506771049","6.8118843"
"28","69.82018","2.0931563078880493","0.008533555182635471","46.7377025"
"29","62.376455","1.869999049657922","0.011347668353507898","39.3139853"
"30","61.317326","1.8382471614901006","0.0005371757988","2.3186063"
"31","61.037012","1.829843559303894","0.019270325513936128","47.5341495"
"32","55.048943","1.6503257694697964","0.000950380841742176","30.7354206"
"33","36.568194","1.0962868606064022","0.018510433944796113","3.7368728"
"34","1.072719","0.032159306112378404","2.774125107895896e-05","0.0027338"
"35","1.616704","0.04846756590412458","7.796048392205337e-05","0.0035419"
"36","1.752242","0.05253089286287104","2.8730156133e-06","0.0068845"
